Year,complication,category,Strata,readmission,Yes,Count
2018-2019,Deep Sternal Infection,Age,0 to 40,N,0,0
2018-2019,Deep Sternal Infection,Age,41-65,N,0.00109,11
2018-2019,Deep Sternal Infection,Age,66 to Max,N,0.00081,11
2018-2019,Deep Sternal Infection,All,All,N,0.00093,22
2018-2019,Deep Sternal Infection,CABG type,CABG+Valve,N,0.00169,5
2018-2019,Deep Sternal Infection,CABG type,Isolated CABG,N,0.00082,16
2018-2019,Deep Sternal Infection,CABG type,Other Non-Isolated CABG,N,0.00075,1
2018-2019,Deep Sternal Infection,Gender,Female,N,0.00122,6
2018-2019,Deep Sternal Infection,Gender,Male,N,0.00085,16
2018-2019,Deep Sternal Infection,PayorType,Medi-Cal,N,0.00162,1
2018-2019,Deep Sternal Infection,PayorType,Medicare,N,0.00237,7
2018-2019,Deep Sternal Infection,PayorType,Other Insurance,N,0.00057,11
2018-2019,Deep Sternal Infection,PayorType,Private Insurance,N,0.00374,3
2018-2019,Deep Sternal Infection,PayorType,Uninsured,N,0,0
2018-2019,Deep Sternal Infection,Race,Asian,N,0.00031,1
2018-2019,Deep Sternal Infection,Race,Black,N,0.00109,1
2018-2019,Deep Sternal Infection,Race,Hispanic,N,0.00061,3
2018-2019,Deep Sternal Infection,Race,Native,N,0,0
2018-2019,Deep Sternal Infection,Race,Others,N,0.00162,2
2018-2019,Deep Sternal Infection,Race,Pacific,N,0.00498,1
2018-2019,Deep Sternal Infection,Race,White,N,0.00106,14
2018-2019,Post-Operative Atrial Fibrillation,Age,0 to 40,N,0.07853,15
2018-2019,Post-Operative Atrial Fibrillation,Age,41-65,N,0.1951,1960
2018-2019,Post-Operative Atrial Fibrillation,Age,66 to Max,N,0.32809,4442
2018-2019,Post-Operative Atrial Fibrillation,All,All,N,0.26989,6417
2018-2019,Post-Operative Atrial Fibrillation,CABG type,CABG+Valve,N,0.37504,1109
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Isolated CABG,N,0.25141,4898
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Other Non-Isolated CABG,N,0.30666,410
2018-2019,Post-Operative Atrial Fibrillation,Gender,Female,N,0.24302,1193
2018-2019,Post-Operative Atrial Fibrillation,Gender,Male,N,0.27689,5224
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medi-Cal,N,0.17208,106
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medicare,N,0.33502,991
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Other Insurance,N,0.26435,5121
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Private Insurance,N,0.24035,193
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Uninsured,N,0.22222,6
2018-2019,Post-Operative Atrial Fibrillation,Race,Asian,N,0.25301,820
2018-2019,Post-Operative Atrial Fibrillation,Race,Black,N,0.22732,208
2018-2019,Post-Operative Atrial Fibrillation,Race,Hispanic,N,0.19774,979
2018-2019,Post-Operative Atrial Fibrillation,Race,Native,N,0.13514,10
2018-2019,Post-Operative Atrial Fibrillation,Race,Others,N,0.27287,337
2018-2019,Post-Operative Atrial Fibrillation,Race,Pacific,N,0.23383,47
2018-2019,Post-Operative Atrial Fibrillation,Race,White,N,0.30519,4016
2018-2019,Post-Operative Dialysis,Age,0 to 40,N,0.01047,2
2018-2019,Post-Operative Dialysis,Age,41-65,N,0.00737,74
2018-2019,Post-Operative Dialysis,Age,66 to Max,N,0.01529,207
2018-2019,Post-Operative Dialysis,All,All,N,0.0119,283
2018-2019,Post-Operative Dialysis,CABG type,CABG+Valve,N,0.01826,54
2018-2019,Post-Operative Dialysis,CABG type,Isolated CABG,N,0.00991,193
2018-2019,Post-Operative Dialysis,CABG type,Other Non-Isolated CABG,N,0.02693,36
2018-2019,Post-Operative Dialysis,Gender,Female,N,0.01691,83
2018-2019,Post-Operative Dialysis,Gender,Male,N,0.0106,200
2018-2019,Post-Operative Dialysis,PayorType,Medi-Cal,N,0.02273,14
2018-2019,Post-Operative Dialysis,PayorType,Medicare,N,0.02603,77
2018-2019,Post-Operative Dialysis,PayorType,Other Insurance,N,0.00914,177
2018-2019,Post-Operative Dialysis,PayorType,Private Insurance,N,0.01868,15
2018-2019,Post-Operative Dialysis,PayorType,Uninsured,N,0,0
2018-2019,Post-Operative Dialysis,Race,Asian,N,0.01234,40
2018-2019,Post-Operative Dialysis,Race,Black,N,0.01749,16
2018-2019,Post-Operative Dialysis,Race,Hispanic,N,0.01171,58
2018-2019,Post-Operative Dialysis,Race,Native,N,0,0
2018-2019,Post-Operative Dialysis,Race,Others,N,0.01619,20
2018-2019,Post-Operative Dialysis,Race,Pacific,N,0.01493,3
2018-2019,Post-Operative Dialysis,Race,White,N,0.0111,146
2018-2019,Post-Operative Renal Failure,Age,0 to 40,N,0.01571,3
2018-2019,Post-Operative Renal Failure,Age,41-65,N,0.01284,129
2018-2019,Post-Operative Renal Failure,Age,66 to Max,N,0.02327,315
2018-2019,Post-Operative Renal Failure,All,All,N,0.0188,447
2018-2019,Post-Operative Renal Failure,CABG type,CABG+Valve,N,0.03044,90
2018-2019,Post-Operative Renal Failure,CABG type,Isolated CABG,N,0.0155,302
2018-2019,Post-Operative Renal Failure,CABG type,Other Non-Isolated CABG,N,0.04114,55
2018-2019,Post-Operative Renal Failure,Gender,Female,N,0.02506,123
2018-2019,Post-Operative Renal Failure,Gender,Male,N,0.01717,324
2018-2019,Post-Operative Renal Failure,PayorType,Medi-Cal,N,0.03734,23
2018-2019,Post-Operative Renal Failure,PayorType,Medicare,N,0.0355,105
2018-2019,Post-Operative Renal Failure,PayorType,Other Insurance,N,0.01512,293
2018-2019,Post-Operative Renal Failure,PayorType,Private Insurance,N,0.03238,26
2018-2019,Post-Operative Renal Failure,PayorType,Uninsured,N,0,0
2018-2019,Post-Operative Renal Failure,Race,Asian,N,0.02098,68
2018-2019,Post-Operative Renal Failure,Race,Black,N,0.02514,23
2018-2019,Post-Operative Renal Failure,Race,Hispanic,N,0.01939,96
2018-2019,Post-Operative Renal Failure,Race,Native,N,0,0
2018-2019,Post-Operative Renal Failure,Race,Others,N,0.0251,31
2018-2019,Post-Operative Renal Failure,Race,Pacific,N,0.01493,3
2018-2019,Post-Operative Renal Failure,Race,White,N,0.01717,226
2018-2019,Post-Operative Stroke,Age,0 to 40,N,0.01047,2
2018-2019,Post-Operative Stroke,Age,41-65,N,0.01005,101
2018-2019,Post-Operative Stroke,Age,66 to Max,N,0.0175,237
2018-2019,Post-Operative Stroke,All,All,N,0.0143,340
2018-2019,Post-Operative Stroke,CABG type,CABG+Valve,N,0.01725,51
2018-2019,Post-Operative Stroke,CABG type,Isolated CABG,N,0.01247,243
2018-2019,Post-Operative Stroke,CABG type,Other Non-Isolated CABG,N,0.03441,46
2018-2019,Post-Operative Stroke,Gender,Female,N,0.02057,101
2018-2019,Post-Operative Stroke,Gender,Male,N,0.01267,239
2018-2019,Post-Operative Stroke,PayorType,Medi-Cal,N,0.02273,14
2018-2019,Post-Operative Stroke,PayorType,Medicare,N,0.02941,87
2018-2019,Post-Operative Stroke,PayorType,Other Insurance,N,0.01146,222
2018-2019,Post-Operative Stroke,PayorType,Private Insurance,N,0.01993,16
2018-2019,Post-Operative Stroke,PayorType,Uninsured,N,0.03704,1
2018-2019,Post-Operative Stroke,Race,Asian,N,0.01604,52
2018-2019,Post-Operative Stroke,Race,Black,N,0.02186,20
2018-2019,Post-Operative Stroke,Race,Hispanic,N,0.01414,70
2018-2019,Post-Operative Stroke,Race,Native,N,0,0
2018-2019,Post-Operative Stroke,Race,Others,N,0.017,21
2018-2019,Post-Operative Stroke,Race,Pacific,N,0.03483,7
2018-2019,Post-Operative Stroke,Race,White,N,0.01292,170
2018-2019,Prolonged Ventilation,Age,0 to 40,N,0.08901,17
2018-2019,Prolonged Ventilation,Age,41-65,N,0.05574,560
2018-2019,Prolonged Ventilation,Age,66 to Max,N,0.07032,952
2018-2019,Prolonged Ventilation,All,All,N,0.06431,1529
2018-2019,Prolonged Ventilation,CABG type,CABG+Valve,N,0.09638,285
2018-2019,Prolonged Ventilation,CABG type,Isolated CABG,N,0.0539,1050
2018-2019,Prolonged Ventilation,CABG type,Other Non-Isolated CABG,N,0.1451,194
